player,mins,goals,assists,ga,wcs,fw,squad,ga90
Aaron Lennon,256,0,0.0,0.0,2,True,engEngland,0.0
Aarón Padilla Gutiérrez,540,0,0.0,0.0,2,True,mxMexico,0.0
Abde Ezzalzouli,93,0,0.0,0.0,1,True,maMorocco,0.0
Abdeljalil Hadda,262,2,1.0,3.0,1,True,maMorocco,1.0305343511450382
Abdelkrim Merry,360,1,0.0,1.0,1,True,maMorocco,0.25
Abdul Kader Keïta,243,0,0.0,0.0,2,True,ciCôte d'Ivoire,0.0
Abdulaziz Al-Anberi,270,0,0.0,0.0,1,True,kwKuwait,0.0
Abdullah Al-Buloushi,270,1,0.0,1.0,1,True,kwKuwait,0.33333333333333337
Abel Balbo,450,1,0.0,1.0,3,True,arArgentina,0.2
Adam Lallana,92,0,0.0,0.0,1,True,engEngland,0.0
Adel Sellimi,337,0,0.0,0.0,2,True,tnTunisia,0.0
Admir Mehmedi,337,1,0.0,1.0,1,True,chSwitzerland,0.26706231454005935
Adnan Al Talyani,270,0,0.0,0.0,1,True,aeUAE,0.0
Adnan Januzaj,144,1,0.0,1.0,2,True,beBelgium,0.625
Adolfo Valencia,342,2,0.0,2.0,2,True,coColombia,0.5263157894736842
Adrian Alston,244,0,0.0,0.0,1,True,auAustralia,0.0
Adrian Ilie,315,1,0.0,1.0,1,True,roRomania,0.2857142857142857
Adrian Knup,260,2,0.0,2.0,1,True,chSwitzerland,0.6923076923076923
Adriano,265,2,0.0,2.0,1,True,brBrazil,0.6792452830188679
Adrián Ramos,141,0,1.0,1.0,1,True,coColombia,0.6382978723404256
Agustín Balbuena,309,0,0.0,0.0,1,True,arArgentina,0.0
Agustín Delgado,532,3,0.0,3.0,2,True,ecEcuador,0.5075187969924811
Ahmed Bahja,202,0,0.0,0.0,1,True,maMorocco,0.0
Ahmed El-Kass,241,0,0.0,0.0,1,True,egEgypt,0.0
Ahmed Musa,542,4,0.0,4.0,2,True,ngNigeria,0.6642066420664207
Ahmed Radhi,270,1,0.0,1.0,1,True,iqIraq,0.33333333333333337
Ahmed Ramzy,159,0,0.0,0.0,1,True,egEgypt,0.0
Ahn Jung-hwan,624,3,0.0,3.0,2,True,krKorea Republic,0.4326923076923077
Akinori Nishizawa,90,0,0.0,0.0,1,True,jpJapan,0.0
Akram Afif,270,0,0.0,0.0,1,True,qaQatar,0.0
Akwá,199,0,0.0,0.0,1,True,aoAngola,0.0
Al Hasan Al-Yami,222,0,0.0,0.0,1,True,saSaudi Arabia,0.0
Alain Boghossian,221,0,0.0,0.0,1,True,frFrance,0.0
Alain Couriol,119,1,0.0,1.0,1,True,frFrance,0.7563025210084033
Alan McInally,90,0,0.0,0.0,1,True,sctScotland,0.0
Alan Shearer,390,2,1.0,3.0,1,True,engEngland,0.6923076923076923
Alberto Fouilloux,180,0,0.0,0.0,1,True,clChile,0.0
Alberto Gallardo,345,2,0.0,2.0,1,True,pePeru,0.5217391304347826
Alberto Gilardino,420,1,0.0,1.0,2,True,itItaly,0.2142857142857143
Alberto Mario González,360,0,0.0,0.0,1,True,arArgentina,0.0
Alcindo,180,0,0.0,0.0,1,True,brBrazil,0.0
Aldo Serena,111,1,0.0,1.0,1,True,itItaly,0.8108108108108109
Alejandro Bedoya,283,0,0.0,0.0,1,True,usUnited States,0.0
Aleksandar Kostov,90,0,0.0,0.0,1,True,bgBulgaria,0.0
Aleksandar Mitrović,528,3,0.0,3.0,2,True,rsSerbia,0.5113636363636364
Aleksandr Golovin,401,1,2.0,3.0,1,True,ruRussia,0.6733167082294265
Aleksandr Kerzhakov,110,1,0.0,1.0,2,True,ruRussia,0.8181818181818181
Aleksandr Kokorin,270,1,0.0,1.0,1,True,ruRussia,0.33333333333333337
Alen Bokšić,246,0,0.0,0.0,1,True,hrCroatia,0.0
Alessandro Altobelli,474,5,0.0,5.0,2,True,itItaly,0.9493670886075949
Alessandro Del Piero,501,2,1.0,3.0,3,True,itItaly,0.5389221556886228
Alexander Frei,445,2,0.0,2.0,2,True,chSwitzerland,0.40449438202247195
Alexandre Czerniatynski,399,1,0.0,1.0,2,True,beBelgium,0.22556390977443608
Alexandru Neagu,198,1,0.0,1.0,1,True,roRomania,0.4545454545454546
Alexis Alexandris,90,0,0.0,0.0,1,True,grGreece,0.0
Alexis Sánchez,724,2,1.0,3.0,2,True,clChile,0.3729281767955801
Alexis Vega,193,0,0.0,0.0,1,True,mxMexico,0.0
