player,pos,squad,minutes,goals,assists,ga,goals_per90,assists_per90,ga_per90,wc_year
Valentin Afonin,DF,suSoviet Union,90,0,,,0.00,,,1966
Flórián Albert,FW,huHungary,360,0,,,0.00,,,1966
Enrico Albertosi,GK,itItaly,270,0,,,0.00,,,1966
Rafael Albrecht,DF,arArgentina,244,0,,,0.00,,,1966
Alcindo,"FW,MF",brBrazil,180,0,,,0.00,,,1966
José Augusto de Almeida,MF,ptPortugal,540,3,,,0.50,,,1966
Amancio Amaro,"FW,MF",esSpain,180,1,,,0.50,,,1966
José Ángel Iribar,GK,esSpain,270,0,,,0.00,,,1966
Pedro Araya Toro,"FW,MF",clChile,270,0,,,0.00,,,1966
Kurt Armbruster,"DF,MF",chSwitzerland,180,0,,,0.00,,,1966
Marcel Artelesa,DF,frFrance,270,0,,,0.00,,,1966
Luis Artime,FW,arArgentina,360,3,,,0.75,,,1966
Georgi Asparuhov,FW,bgBulgaria,270,1,,,0.33,,,1966
Marcel Aubour,GK,frFrance,270,0,,,0.00,,,1966
José Augusto Torres,FW,ptPortugal,540,3,,,0.50,,,1966
Alan Ball Jr.,MF,engEngland,390,0,,,0.00,,,1966
Heinz Bäni,"DF,MF",chSwitzerland,270,0,,,0.00,,,1966
Anatoliy Banishevskiy,FW,suSoviet Union,450,1,,,0.20,,,1966
Gordon Banks,GK,engEngland,570,0,,,0.00,,,1966
Alexandre Baptista,DF,ptPortugal,450,0,,,0.00,,,1966
Paolo Barison,"FW,MF",itItaly,180,1,,,0.50,,,1966
Silva Batuta,FW,brBrazil,90,0,,,0.00,,,1966
Franz Beckenbauer,"DF,MF",deWest Germany,570,4,,,0.63,,,1966
Hilderaldo Bellini,DF,brBrazil,180,0,,,0.00,,,1966
Ferenc Bene,FW,huHungary,360,4,,,1.00,,,1966
Kang Bong-chil,"DF,MF",kpKorea DPR,90,0,,,0.00,,,1966
Kim Bong-hwan,FW,kpKorea DPR,90,0,,,0.00,,,1966
Han Bong-zin,MF,kpKorea DPR,360,0,,,0.00,,,1966
Joseph Bonnel,MF,frFrance,270,0,,,0.00,,,1966
Enrique Borja,FW,mxMexico,270,1,,,0.33,,,1966
Bernard Bosquier,DF,frFrance,270,0,,,0.00,,,1966
Hércules Brito Ruas,DF,brBrazil,90,0,,,0.00,,,1966
René Brodmann,DF,chSwitzerland,180,0,,,0.00,,,1966
Albert Brülls,MF,deWest Germany,180,0,,,0.00,,,1966
Robert Budzynski,DF,frFrance,270,0,,,0.00,,,1966
Giacomo Bulgarelli,MF,itItaly,270,0,,,0.00,,,1966
Tarcisio Burgnich,DF,itItaly,180,0,,,0.00,,,1966
Omar Caetano,"DF,MF",uyUruguay,360,0,,,0.00,,,1966
Ignacio Calderón,GK,mxMexico,180,0,,,0.00,,,1966
Oscar Calics,"DF,MF",arArgentina,90,0,,,0.00,,,1966
Ian Callaghan,MF,engEngland,90,0,,,0.00,,,1966
Antonio Carbajal,GK,mxMexico,90,0,,,0.00,,,1966
Joaquim Carvalho,GK,ptPortugal,90,0,,,0.00,,,1966
Julio César Cortés,"FW,MF",uyUruguay,360,1,,,0.25,,,1966
Arturo Chaires,DF,mxMexico,270,0,,,0.00,,,1966
Lee Chang-myung,GK,kpKorea DPR,360,0,,,0.00,,,1966
Bobby Charlton,"FW,MF",engEngland,570,3,,,0.47,,,1966
Jack Charlton,DF,engEngland,570,0,,,0.00,,,1966
Igor Chislenko,"FW,MF",suSoviet Union,313,2,,,0.58,,,1966
Ernesto Cisneros,"FW,MF",mxMexico,90,0,,,0.00,,,1966
George Cohen,DF,engEngland,570,0,,,0.00,,,1966
Mário Coluna,"FW,MF",ptPortugal,540,0,,,0.00,,,1966
Néstor Combin,FW,frFrance,90,0,,,0.00,,,1966
Hilário da Conceição,DF,ptPortugal,540,0,,,0.00,,,1966
John Connelly,"FW,MF",engEngland,90,0,,,0.00,,,1966
Rildo da Costa Menezes,DF,brBrazil,90,1,,,1.00,,,1966
Humberto Cruz,"DF,MF",clChile,270,0,,,0.00,,,1966
Denílson Custódio Machado,MF,brBrazil,180,0,,,0.00,,,1966
Vasiliy Danilov,DF,suSoviet Union,360,0,,,0.00,,,1966
Ivan Davidov,"DF,MF",bgBulgaria,90,0,,,0.00,,,1966
Héctor De Bourgoing,"DF,FW",frFrance,90,1,,,1.00,,,1966
Gabriel De Michèle,DF,frFrance,90,0,,,0.00,,,1966
Jesús del Muro,DF,mxMexico,90,0,,,0.00,,,1966
Luis del Sol,MF,esSpain,180,0,,,0.00,,,1966
Dinko Dermendzhiev,"FW,MF",bgBulgaria,180,0,,,0.00,,,1966
Isidoro Díaz,"FW,MF",mxMexico,270,0,,,0.00,,,1966
Jean Djorkaeff,DF,frFrance,270,0,,,0.00,,,1966
Li Dong-woon,"DF,FW",kpKorea DPR,180,1,,,0.50,,,1966
Pak Doo-ik,"FW,MF",kpKorea DPR,360,1,,,0.25,,,1966
Richard Dürr,"FW,MF",chSwitzerland,90,0,,,0.00,,,1966
Léo Eichmann,GK,chSwitzerland,90,0,,,0.00,,,1966
Karl Elsener,GK,chSwitzerland,180,0,,,0.00,,,1966
Lothar Emmerich,FW,deWest Germany,390,1,,,0.23,,,1966
Eusébio,FW,ptPortugal,540,9,,,1.50,,,1966
Luis Eyzaguirre,DF,clChile,90,0,,,0.00,,,1966
Giacinto Facchetti,DF,itItaly,270,0,,,0.00,,,1966
János Farkas,FW,huHungary,360,1,,,0.25,,,1966
Roberto Ferreiro,DF,arArgentina,360,0,,,0.00,,,1966
Alberto Festa,DF,ptPortugal,270,0,,,0.00,,,1966
Altair Gomes de Figueiredo,DF,brBrazil,180,0,,,0.00,,,1966
Germano de Figueiredo,DF,ptPortugal,90,0,,,0.00,,,1966
Elías Figueroa,DF,clChile,270,0,,,0.00,,,1966
Romano Fogli,MF,itItaly,90,0,,,0.00,,,1966
Alberto Fouilloux,"FW,MF",clChile,180,0,,,0.00,,,1966
Javier Fragoso,"FW,MF",mxMexico,90,0,,,0.00,,,1966
Hansruedi Führer,DF,chSwitzerland,270,0,,,0.00,,,1966
Boris Gaganelov,DF,bgBulgaria,270,0,,,0.00,,,1966
Gallego,DF,esSpain,270,0,,,0.00,,,1966
Garrincha,"FW,MF",brBrazil,180,1,,,0.50,,,1966
József Gelei,GK,huHungary,270,0,,,0.00,,,1966
Francisco Gento,"FW,MF",esSpain,180,0,,,0.00,,,1966
Gérson,MF,brBrazil,90,0,,,0.00,,,1966
Viktor Getmanov,DF,suSoviet Union,90,0,,,0.00,,,1966
Jesús Glaría,"DF,MF",esSpain,90,0,,,0.00,,,1966
Néstor Gonçalves,MF,uyUruguay,360,0,,,0.00,,,1966
Philippe Gondet,FW,frFrance,270,0,,,0.00,,,1966
Vittore Gottardi,"FW,MF",chSwitzerland,180,0,,,0.00,,,1966
Jaime Graça,MF,ptPortugal,540,0,,,0.00,,,1966
Jimmy Greaves,"FW,MF",engEngland,270,0,,,0.00,,,1966
André Grobéty,DF,chSwitzerland,90,0,,,0.00,,,1966
Aristide Guarneri,DF,itItaly,90,0,,,0.00,,,1966
Helmut Haller,"FW,MF",deWest Germany,480,6,,,1.13,,,1966
Gérard Hausser,FW,frFrance,270,1,,,0.33,,,1966
Sigfried Held,"FW,MF",deWest Germany,570,1,,,0.16,,,1966
Paulo Henrique,DF,brBrazil,180,0,,,0.00,,,1966
Yves Herbet,MF,frFrance,180,0,,,0.00,,,1966
Robert Herbin,"DF,MF",frFrance,180,0,,,0.00,,,1966
Guillermo Hernández,DF,mxMexico,270,0,,,0.00,,,1966
Robert Hosp,FW,chSwitzerland,270,0,,,0.00,,,1966
Horst-Dieter Höttges,DF,deWest Germany,480,0,,,0.00,,,1966
Roger Hunt,FW,engEngland,570,3,,,0.47,,,1966
Geoff Hurst,FW,engEngland,300,4,,,1.20,,,1966
Jairzinho,"FW,MF",brBrazil,270,0,,,0.00,,,1966
Francesco Janich,DF,itItaly,90,0,,,0.00,,,1966
Ignacio Jáuregui,DF,mxMexico,90,0,,,0.00,,,1966
Ha Jung-won,"DF,MF",kpKorea DPR,180,0,,,0.00,,,1966
Benő Káposzta,DF,huHungary,360,0,,,0.00,,,1966
